; Column layout:
; SIZE  =IPv4= <IPv4 protocols> =IPv6= <native IPv6 protocols> =IPv6t= <tunneled IPv6 protocols>
; First column (SIZE) is packet size in bytes
; Column =IPv4= is total number of IPv4 packets for each packet size
; Subsequent columns (upto =IPv6= or =IPv6t= or end of line, whichever
; comes first) give the number of IPv4 packets for the indicated protocol
; Column =IPv6= is total number of native IPv6 packets for each packet size
; Subsequent columns (upto =IPv6t= or end of line) give the number of IPv6
; packets for the indicated protocol
; Column =IPv6t= is total number of tunneled IPv4-over-IPv6 packets
; Subsequent columns give the number of tunneled IPv6 packets for the
; the indicated protocol
;
; First timestamp: 1459947552.407658674
; Last timestamp: 1459951362.403493777
; Total number of packets: 1811152408
; Total number of IPv4 packets: 1755133537
; Total number of native IPv6 packets: 56018871
; Total number of tunneled IPv6 packets: 1523
; IPv6 native fragments: 261
;
SIZE     =IPv4=       SCTP       IPv6        ESP        UDP        GRE       ICMP        TCP    UNKNOWN     =IPv6=      ICMP6        UDP        TCP    =IPv6t=      ICMP6        UDP        TCP
        122     213648          0          0          0     118445         19        562      94622          0       6463          0        603       5860          0          0          0          0
        123     355819          0          0          0     114047        214       3454     238104          0       3962          0        565       3397          0          0          0          0
        124    2073417          0          1       1432    1440722          9        465     630770         18       1750          2       1050        698          0          0          0          0
        125     970434          0          0          0     469495         11        561     500367          0      34719          0        617      34102          0          0          0          0
        126     853185          0          0          0     313714          9        630     538832          0       4602         16        597       3989          1          0          0          1
        127    2524601          0          0          0     124839         48        679    2399035          0       4768          8        589       4171          0          0          0          0
        128    2468713          0          1      27254    2295864          5       2265     143322          2       3146        619        370       2157          4          0          0          4
        129    8685406          0          0          0    8479341         48       6480     199537          0       6547          0        368       6179          1          0          0          1
        130     371326          0          1          0     124661         40       6932     239692          0       4355         15        494       3846          1          0          0          1
        131    2179360          0          3          0     502296         11        338    1676712          0       1927          5        500       1422          0          0          0          0
        132     652431          0          3          0     311420          5        479     340522          2      56339      33471       3804      19064          0          0          0          0
        133     567560          0          1          0     427626         17       2163     137753          0      28908          0        378      28530          0          0          0          0
        134     408172          0          0          0     322343         16        611      85202          0       3255          0        377       2878          0          0          0          0
        135     412412          0          1          0     140163         11       4163     268074          0       3950          3        794       3153          0          0          0          0
        136     482212          0          0     103237     160952        393        578     217052          0       1600        234        537        829          0          0          0          0
        137    1297507          0          7          0     623703          4        361     673432          0       2229          0        588       1641          1          0          0          1
        138     269204          0          0          0     203824          3         56      65321          0       4791          1        652       4138          1          0          0          1
        139     379157          0          0          0     122752          6        241     256158          0       2744         43        493       2208          1          0          0          1
        140    1912558          0          0       1562    1624632         10        197     286155          2       1348         27        728        593          5          0          0          5
        141     437616          0          0          0     186979         13       1058     249566          0       6212         21        508       5683          3          0          0          3
        142    1092637          0          0          0     399551         16        618     692452          0       4256          8       1095       3153          2          0          0          2
        143     375998          0          0          0     167435          9       1705     206849          0       2537          3        560       1974          6          0          0          6
        144     503437          0          0      13483     351507         37       1328     137066         16       7182        650       1474       5058         10          0          0         10
        145     993257          0          0          0     746130        199        247     246681          0       8444         10        734       7700         24          0         17          7
        146     235386          0          1          0      76457        249        142     158537          0       4457          4       1289       3164          4          0          0          4
        147     554031          0          0          0     104231        187        273     449340          0      10261          5        611       9645          9          0          0          9
        148    1331276          0          4          0    1044272         11        320     286669          0       2051          5        847       1199          5          0          0          5
        149     501390          0          1          0     364034         10       1561     135783          1       5889         13       2775       3101          2          0          0          2
        150     231265          0          1          0      81417        180        751     148916          0       3549          8        946       2595          4          0          0          4
        151     600134          0          0          0     544180         13        241      55700          0       4432        149        803       3480          6          0          0          6
        152     423924          0          0     119858     170346        208        108     133398          6       9213        624        940       7649          4          0          1          3
        153     965971          0          0          0     383413          9       3457     579092          0       5497         14        866       4617          4          0          0          4
        154     212085          0          0          0      72204          2       1423     138456          0       7294         24        723       6547          6          0          0          6
        155     196857          0          0          0      68057          6        142     128652          0       3587          0        863       2724          6          0          0          6
        156     700223          0          0       4093     485132          9       2772     208190         27       2930         86        914       1930          5          0          0          5
        157     367863          0          1          0     127268          2      10695     229897          0       5323         58        682       4583          6          0          0          6
        158     296540          0          1          0      62278          2       1972     232287          0       4195          2        726       3467          7          0          0          7
        159     321396          0          1          0      87500          3      17391     216501          0       3504          0        959       2545          2          0          0          2
        160     340514          0          5      16966     185330         20       4599     133594          0       5032          6       1012       4014          7          0          0          7
        161     350251          0          3          0     198514          4       1927     149803          0       8873          0        967       7906         10          0          5          5
        162     174676          0          2          0      49288         27       4139     121220          0       4260          1       1100       3159          5          0          0          5
        163     326094          0          6          0      53937          3        180     271968          0       4645          1       3225       1419          9          0          5          4
        164     414277          0         10         28      77262          5        325     336636         11       3002          2       1111       1889          5          0          0          5
        165     224724          0         24          0     115798          4       2702     106196          0       3656         12        804       2840          4          0          0          4
        166     998763          0          4          0      84097        415        310     913937          0       3623         21        907       2695          5          0          0          5
        167     276327          0         11          0      43182          2        205     232927          0       3587         15        815       2757         10          0          0         10
        168     349923          0          5      38431     105498          3      25155     180829          2       1435          0        587        848          3          0          0          3
        169     666004          0          2          0     389535         10        392     276065          0       4777          1        547       4229          4          0          0          4
        170     780902          0          4          0     526405         17        228     254248          0       5304          0        587       4717          2          0          0          2
        171     165998          0          6          0      47631          6       1043     117312          0       2141          0        537       1604          5          0          0          5
        172     275118          0          4       4566     136137          2       2108     132301          0       1865         49        630       1186          4          0          0          4
        173     713273          0          4          0      61970         16       1646     649637          0       4175          2        459       3714          5          0          0          5
        174     434044          0          6          0      81831         31        255     351921          0       3554          0        478       3076          9          0          0          9
        175     137495          0          6          0      69885          6        235      67363          0       1674          0        461       1213         10          0          0         10
        176     249122          0          5      36957     126147          5        256      85752          0       2443         10        540       1893          4          0          0          4
        177     406563          0          6          0     236227         10        208     170112          0       7067          0        469       6598         13          0          0         13
        178    1529367          0          7          0      84014         12        216    1445118          0       2709          0        411       2298          2          0          0          2
        179     137032          0          2          0      81862          5        221      54942          0       1751          2        382       1367          3          0          0          3
        180     224356          0          7          0     110357          4        161     113827          0       1560          0        380       1180          0          0          0          0
        181     208451          0         10          0      68732          2        197     139510          0       3218          1        404       2813          0          0          0          0
        182     185541          0          5          0      62872          5        223     122436          0       3138          0        381       2757          0          0          0          0
        183     205844          0          9          0      57606          1        153     148075          0       2668          0        310       2358          0          0          0          0
        184     711287          0          5      53675      89752         13        185     567654          3       1347        111        314        922          0          0          0          0
        185     301011          0          4          0     106072          3        144     194788          0       1879        159        278       1442          1          0          0          1
        186     962169          0          5          0      54742          3        123     907296          0      12818          0        239      12579          1          0          1          0
        187     442895          0         10          0     161269          0        240     281376          0       1380          0        211       1169          1          0          0          1
        188     212025          0          3       1922      88469         12        217     121400          2       1611          1        150       1460          0          0          0          0
        189     182442          0          4          0      57948          3        206     124281          0       4017          1        148       3868          1          0          0          1
        190     707456          0          2          0     208711         11        245     498487          0       3382          0        150       3232          0          0          0          0
        191     169753          0          5          0      54014          5        130     115599          0       1455          1        160       1294          2          0          0          2
        192     231072          0          4       9165     101201          1        138     120544         19       1715          1        129       1585          1          0          0          1
        193     266461          0          5          0     115867         22       1030     149537          0       6085          9        106       5970          1          0          0          1
        194     174619          0          9          0      61247          6         79     113278          0       2551          3        130       2418          1          0          0          1
        195     225077          0         10          0      61896         10       1233     161928          0       1227          0        103       1124          0          0          0          0
        196     233094          0          4          0      62645          0        206     170239          0       1350        108         81       1161          0          0          0          0
        197     274194          0         13          0     147671        117        320     126073          0       3476        209         82       3185          0          0          0          0
        198     126822          0          2          0      57310         49        219      69242          0       6472          0         76       6396          0          0          0          0
        199     121856          0          3          0      56612         20        116      65105          0       2730          0         68       2662          1          0          0          1
        200   71136131          0          0      19369   71018929          9        187      97637          0       1821          2        100       1719          1          0          0          1
        201     240848          0          0          0      93263          6         93     147486          0       1744          1         77       1666          2          0          0          2
        202     191250          0          0          0      76807          9        205     114229          0       4309          4         61       4244          0          0          0          0
